S,E,I,R,Beta
62991,0,10,36999,0.00256703338572177
61374,1393,211,37022,7.158348696369721e-05
60447,1829,623,37101,2.400521677972088e-05
59543,2129,1064,37264,1.5942228646536987e-05
58533,2429,1501,37537,1.4614486076645945e-05
57249,2938,1943,37870,1.2990538114566964e-05
55804,3451,2459,38286,1.2672891692118604e-05
54065,4022,3080,38833,1.2154681534132196e-05
52041,4741,3762,39456,1.1032890978763616e-05
49881,5373,4469,40277,1.1004037001215724e-05
47428,6014,5307,41251,1.0389336058096627e-05
44813,6717,6115,42355,9.860180487647962e-06
42111,7346,6918,43625,9.357282456793161e-06
39385,7815,7768,45032,8.942851647896919e-06
36649,8197,8549,46605,8.796335130167774e-06
33893,8443,9251,48413,8.515547362656364e-06
31223,8557,9814,50406,8.093399870914187e-06
28743,8440,10396,52421,7.489653335070344e-06
26505,8237,10676,54582,7.16336985556427e-06
24478,7857,10882,56783,6.629885792220821e-06
22712,7424,10948,58916,5.956139902704424e-06
21231,6818,10768,61183,6.097576765254597e-06
19837,6243,10564,63356,5.692932805622163e-06
18644,5681,10214,65461,5.582109053762884e-06
17581,5125,9911,67383,5.354520599354389e-06
16648,4601,9447,69304,4.997658349088038e-06
15862,4113,8836,71189,4.730421889704085e-06
15199,3595,8350,72856,4.719818866116704e-06
14600,3193,7749,74458,4.560906665818126e-06
14084,2760,7179,75977,3.916563896425637e-06
13688,2421,6578,77313,3.420714675256896e-06
13380,2088,6001,78531,3.7736610415453927e-06
13077,1800,5464,79659,3.2748924575699895e-06
12843,1534,4939,80684,3.6574843472676076e-06
12611,1313,4453,81623,3.2053118142469096e-06
12431,1135,3926,82508,2.8071408581892678e-06
12294,950,3470,83286,3.117661481972181e-06
12161,807,3074,83958,2.8890203690381117e-06
12053,688,2736,84523,2.0317185840510456e-06
11986,587,2394,85033,2.3000936347208752e-06
11920,491,2100,85489,2.556727388942154e-06
11856,421,1850,85873,2.1428310901995114e-06
11809,357,1633,86201,1.9705356180276423e-06
11771,275,1461,86493,2.384077017084703e-06
11730,229,1274,86767,2.3420739533271502e-06
11695,197,1110,86998,2.542088903781935e-06
11662,162,954,87222,1.7077810459314003e-06
11643,140,831,87386,1.4469786207875223e-06
11629,118,704,87549,1.7100665264737841e-06
11615,103,589,87693,1.4617243816357719e-06
11605,84,510,87801,1.6896030277686258e-06
11595,76,444,87885,1.7481906227054998e-06
11586,62,374,87978,1.3846694932386588e-06
11580,49,336,88035,2.5701126737396168e-06
11570,46,292,88092,1.7759676063508601e-06
11564,38,252,88146,1.0294674770634647e-06
11561,31,207,88201,1.6714532910288504e-06
11557,27,165,88251,-0.0
11557,22,135,88286,1.9228365685058596e-06
11554,21,110,88315,3.1472768187325915e-06
11550,16,100,88334,1.7316017316017317e-06
11548,17,88,88347,2.9521050477060175e-06
11545,17,76,88362,-0.0
11545,12,64,88379,2.7067994802944997e-06
11543,10,58,88389,1.4936653651862452e-06
11542,7,55,88396,-0.0
11542,4,45,88409,-0.0
11542,4,38,88416,-0.0
11542,3,32,88423,2.7075030324033964e-06
11541,3,26,88430,-0.0
11541,2,24,88433,3.610316841406002e-06
11540,2,22,88436,7.87773751378604e-06
11538,4,20,88438,-0.0
11538,2,17,88443,-0.0
11538,2,15,88445,-0.0
11538,1,13,88448,-0.0
11538,1,11,88450,-0.0
11538,0,12,88450,7.222511122667129e-06
11537,1,7,88455,-0.0
11537,1,4,88458,-0.0
11537,1,2,88460,-0.0
11537,1,1,88461,-0.0
11537,1,0,88462,0.0
11537,1,0,88462,0.0
11537,1,0,88462,0.0
11537,0,1,88462,-0.0
11537,0,1,88462,-0.0
11537,0,1,88462,-0.0
11537,0,1,88462,-0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
11537,0,0,88463,0.0
