beta,alpha,rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
0.1,0.2800000000000001,183.34234826320585,37.605684410737695,7.747011856553393e-06,-37.4692999203892,-30.197179288933796,-36.59537967152872,-23.492910763479838,0.0,4,105,228.0,38.0,45.0,9,84,6,72
0.1,0.3200000000000001,2220.98379102595,460.05741263093097,1.5208231281958883e-05,-2164.995517486377,-1556.8330941388158,-2138.925975215865,-1390.655479727897,0.0080351829528808,4,171,4884.0,55.0,1054.0,10,41,8,37
0.1,0.34000000000000014,1989.807120049579,407.38692193867325,1.1862647205045808e-05,-1180.3414434234096,-873.79220609868,-1169.109125163928,-785.617597759709,0.0080206394195556,4,187,3950.0,64.0,832.0,9,46,6,43
0.1,0.35000000000000014,1468.7217585937326,297.7370204279833,9.094035332112e-06,-594.524323929882,-545.6492232916161,-588.2135226472693,-468.55653315338606,0.0,4,186,2460.0,56.0,505.0,11,59,5,55
0.1,0.37000000000000016,1798.619444532389,365.20985690878246,9.620190688797453e-06,-1447.0918045991766,-1068.6145323926305,-1416.786466189303,-869.0354012366655,0.0,4,162,3218.0,57.0,667.0,7,55,7,51
0.1,0.3900000000000002,1671.3540823984606,338.7886201847203,8.29942970823728e-06,-485.6962728607134,-381.0586152955416,-480.84831710047183,-327.07306615851843,0.0,4,273,2825.0,78.0,581.0,9,55,8,51
0.1,0.4300000000000002,2299.815094469553,468.8776270698642,8.57703935430555e-06,-759.5698735400182,-622.7281249855699,-749.9896616417914,-529.2968850151924,0.0082342624664306,4,267,4356.0,74.0,909.0,10,49,6,45
0.1,0.46000000000000024,1524.4508232475064,309.8909418381462,5.877949470865089e-06,-515.3849916848073,-452.27461991718457,-505.1843415837204,-353.49880104775656,0.0102541446685791,4,212,2348.0,64.0,478.0,10,68,4,64
0.1,0.49000000000000027,1438.5687222896236,294.35710313608314,5.24542985615613e-06,-519.7967625522098,-470.6503742345203,-515.5196313912261,-413.46331951294974,0.0020315647125244,4,221,2178.0,62.0,442.0,11,73,5,69
0.1,0.5000000000000002,4254.202899780405,906.5416886902298,1.2346505070928614e-05,-2013.991272278132,-1744.170665526242,-1998.6589592023388,-1634.3756567868456,0.0,4,316,10966.0,90.0,2490.0,9,33,6,30
0.1,0.5100000000000002,4100.094368832665,868.0988446983827,1.0754779394057964e-05,-779.7850649282711,-721.8545214516506,-771.955863390574,-659.7052016353701,0.0080358982086181,4,482,10258.0,130.0,2292.0,12,34,8,30
0.1,0.5300000000000002,4191.557279470642,886.156389038263,9.4637787140175e-06,-808.9479912305666,-731.1328228724874,-798.7918488149772,-680.9397404265617,0.0,4,456,10461.0,127.0,2331.0,14,34,9,31
0.1,0.5700000000000003,3502.674406792615,720.359805930342,6.23518481200199e-06,-1134.7129560229855,-923.7540149017188,-1120.6974892445226,-800.5192392348071,0.00203537940979,4,319,7281.0,94.0,1545.0,14,45,4,42
0.1,0.6100000000000003,695.8861107729243,143.525259100968,1.908972219308547e-06,-34.247676026837695,-29.40752313339172,-33.73187459969739,-25.514412466795843,0.0100328922271728,4,396,950.0,103.0,190.0,13,77,6,70
0.1,0.6400000000000003,2787.4062260011547,566.4980141183197,3.135946700931448e-06,-404.3198363445047,-342.0275605181323,-388.64994137422536,-322.13536218726216,0.0120694637298583,4,454,5049.0,104.0,1042.0,19,55,5,52
