beta,alpha,rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,r2_full,r2_Inc_full,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
0.1,0.2800000000000001,0.5,0.1443375672974064,6.449944757502939e-06,0.5711094564408041,0.3118279569892472,0.9087591240875912,0.4791666666666667,0.1329376697540283,4,10,5.0,1.0,1.0,1,4,4,4
0.1,0.3200000000000001,0.3061862178478972,0.0,5.375791057465519e-06,0.7583216783216783,1.0,0.9553482833895616,1.0,0.0040011405944824,4,10,4.0,0.0,0.0,1,4,1,4
0.1,0.34000000000000014,1.0801234497346437,0.3679900360969936,6.698370676176706e-06,0.3127077473791868,-0.1073646850044367,0.6872469352992097,-0.1026293469041557,0.0047693252563476,4,10,4.0,2.0,0.0,1,4,16,4
0.1,0.35000000000000014,0.3679900360969936,0.1020620726159657,5.382821111831723e-06,0.8419252691576948,-0.0105263157894739,0.9558108705258508,-0.0101010101010103,0.0029985904693603,4,10,5.0,1.0,0.0,1,4,8,4
0.1,0.37000000000000016,0.2041241452319315,0.0,5.375791057465519e-06,0.717439293598234,1.0,0.981070465193318,1.0,0.0029983520507812,4,10,3.0,0.0,0.0,1,4,1,4
0.1,0.3900000000000002,2.449489742783178,0.3679900360969936,5.367537301205261e-06,-1.5044612527741283,-0.9289026275115913,-0.2307692307692308,-0.7015706806282722,0.0030004978179931,4,10,8.0,2.0,1.0,1,4,6,4
0.1,0.4300000000000002,3.24037034920393,0.5400617248673217,5.375791057465519e-06,-6.32425068119891,0.0,-1.98083747338538,0.0,0.0035133361816406,4,10,9.0,0.0,2.0,1,98,1,97
0.1,0.46000000000000024,5.620831788979279,1.1273124382057236,5.375791057465519e-06,-71.66483653606186,0.0,-9.440260232005782,0.0,0.0019998550415039,4,10,18.0,0.0,4.0,1,99,1,98
0.1,0.49000000000000027,4.379164684427081,0.8720187306856813,5.375791057465519e-06,-196.25,0.0,-11.732554118542076,0.0,0.0025112628936767,4,10,15.0,0.0,3.0,1,99,1,96
0.1,0.5000000000000002,15.407993055553993,3.6199677714955785,7.1867784704437694e-06,-229.23634641692092,-106.15882874889088,-98.18186169981284,-99.1592356687898,0.0021672248840332,4,10,53.0,2.0,13.0,1,99,8,99
0.1,0.5100000000000002,3.3819373146171707,0.7144345083117603,5.375791057465519e-06,-376.8064516129032,0.0,-4.597471451876018,0.0,0.0019996166229248,4,10,12.0,0.0,3.0,1,99,1,98
0.1,0.5300000000000002,52.91768371726034,13.400481956506887,5.566747294457992e-06,-1204.7275275649406,-2029.6061349693252,-618.9312794022691,-1840.7735042735048,0.002000093460083,4,10,192.0,2.0,50.0,1,99,8,99
0.1,0.5700000000000003,131.7528462690655,34.601150029057315,5.306853662180419e-06,-3746.015247687084,-7301.289874255461,-2387.450789009761,-7277.974034198857,0.0019993782043457,4,10,506.0,2.0,136.0,1,99,7,99
0.1,0.6100000000000003,154.95301707291793,42.046601130967375,5.368067322208782e-06,-8730.068181818182,-86664.53191489361,-4802.688729576527,-86590.83673469393,0.0019993782043457,4,10,631.0,1.0,174.0,1,99,7,99
0.1,0.6400000000000003,376.1607452273562,103.02573505359392,5.458123683402982e-06,-41636.200676905406,-33964.76666666667,-23765.01406676464,-33136.333333333336,0.0019996166229248,4,10,1551.0,2.0,429.0,1,99,14,99
0.1,0.6500000000000004,394.79935568589775,108.76120631916513,5.681103504414051e-06,-112937.59202767514,-94960.72822299648,-54809.20879120879,-94316.60797342192,0.0019960403442382,4,10,1646.0,1.0,457.0,1,99,6,99
0.1,0.6700000000000004,204.25726731257325,57.66209037718514,5.375791057465519e-06,-471779.39754601225,0.0,-18308.572571428565,0.0,0.0019986629486083,4,10,889.0,0.0,254.0,1,99,1,99
0.1,0.7000000000000004,664.4566859472482,186.6803473409382,5.375791057465519e-06,-980217.9274873524,0.0,-170244.2522493573,-3379349.505050506,0.0015094280242919,4,10,2858.0,1.0,804.0,1,99,2,99
0.1,0.7100000000000004,786.7460610535863,220.9745696152991,5.3499491904263576e-06,-451048.3922669407,-1612956.247311828,-202531.66641671504,-1610877.6941580751,0.0020012855529785,4,10,3382.0,1.0,948.0,1,99,11,99
0.1,0.7700000000000005,2684.5343598409518,697.2549225952681,5.076075994651983e-06,-2235439.5810642526,-1666848.4642857143,-1344040.9116075763,-1493974.19206146,0.0019991397857666,4,10,9947.0,3.0,2417.0,1,99,24,99
0.1,0.7900000000000005,2066.2849891169417,569.0384433410453,5.375791057465519e-06,-15923925.416835282,0.0,-2218538.815967523,0.0,0.0020005702972412,4,10,8576.0,0.0,2277.0,1,99,1,99
0.1,0.8100000000000005,3674.8382943448455,919.0137376557544,5.38536342143187e-06,-9097724.63508772,-14414271.0,-3310247.960780308,-14375935.170212766,0.0020020008087158,4,10,12429.0,1.0,2767.0,1,99,8,99
0.1,0.8300000000000005,4738.045361090372,1099.340559911562,5.384102295514707e-06,-8212879.177206145,-14224767.490421455,-3986810.989418381,-14166148.938949935,0.0023519992828369,4,10,12874.0,1.0,2780.0,1,96,7,93
0.1,0.8500000000000005,4344.231547648367,1072.8646961523154,5.375791057465519e-06,-40570924.30160952,-111662864.8526316,-6314680.896762053,-56377402.571428604,0.002000093460083,4,10,14161.0,1.0,3085.0,1,99,3,97
0.1,0.8900000000000006,5723.015005222334,1303.431816398541,5.364455800331155e-06,-37325426.63843206,-56119641.83870968,-10740489.083689157,-56047322.71134019,0.0019998550415039,4,10,15090.0,1.0,3285.0,1,95,6,92
0.1,0.9100000000000006,4043.0055458470497,1079.7630237695678,5.440006790913191e-06,-16740054.30214468,-7718982.862068965,-7630838.374635283,-7310597.693664272,0.0019993782043457,4,10,15783.0,2.0,3814.0,1,99,16,99
0.1,0.9300000000000006,6589.487611276514,1442.0617004541334,5.375791057465519e-06,-48335683.71554536,0.0,-15478255.69303033,0.0,0.0020036697387695,4,10,16268.0,0.0,3551.0,1,91,1,88
0.1,0.9500000000000006,7017.056046697931,1481.1302834884805,5.266648949328548e-06,-14935565.612381922,-10893087.137931038,-9107102.98813194,-10472386.071108898,0.0020089149475097,4,10,16334.0,2.0,3559.0,1,85,10,82
0.1,0.9900000000000007,7560.762907934622,1592.538389123896,5.444056663872724e-06,-24949510.795415804,-28679043.476073623,-12283945.350307776,-28610238.482961237,0.0020005702972412,4,10,17799.0,2.0,3909.0,1,84,14,80
0.11,0.2,0.2282177322938192,0.1020620726159657,5.6972711340321154e-06,0.7115384615384617,-0.0105263157894739,0.9642115811323456,-0.0101010101010103,0.0019996166229248,4,10,2.0,1.0,0.0,1,4,7,4
0.11,0.24000000000000005,0.3952847075210474,0.408248290463863,6.846180010633205e-06,0.8912715191784959,-0.0434782608695649,0.955621301775148,0.0117356392835088,0.0019991397857666,4,10,5.0,3.0,0.0,1,4,10,4
0.11,0.2700000000000001,0.8100925873009825,0.2700308624336608,7.3373448382601e-06,0.7115467162684218,0.0454545454545455,0.8476936466492603,0.1452991452991457,0.0019998550415039,4,10,7.0,1.0,1.0,1,4,4,4
0.11,0.2800000000000001,0.25,0.0,5.375791057465519e-06,0.9140811455847256,1.0,0.9807692307692308,1.0,0.0019981861114501,4,10,5.0,1.0,0.0,1,4,3,4
0.11,0.3000000000000001,0.3227486121839514,0.0,5.375791057465519e-06,0.7999583246509689,1.0,0.964659315804354,1.0,0.002002477645874,4,10,5.0,0.0,0.0,1,4,1,4
0.11,0.3100000000000001,1.0307764064044151,0.3227486121839514,6.54969696727579e-06,0.5641025641025641,-0.116279069767442,0.7617713004484304,-0.0214504596527067,0.0025122165679931,4,10,7.0,1.0,0.0,1,4,4,4
0.11,0.3300000000000001,0.4677071733467426,0.1020620726159657,5.378761012843186e-06,0.7599714251696631,-0.0105263157894739,0.9353348729792148,0.796334012219959,0.002000093460083,4,10,6.0,2.0,0.0,1,4,4,4
0.11,0.35000000000000014,0.8477912478906585,0.0,5.375791057465519e-06,0.5686376660588695,1.0,0.871448532836516,1.0,0.0019996166229248,4,11,8.0,1.0,0.0,3,4,3,4
0.11,0.36000000000000015,0.6614378277661477,0.25,6.395807221348478e-06,0.5875613747954174,-0.0285714285714282,0.8843962456304533,0.111111111111111,0.0030205249786376,4,10,5.0,2.0,0.0,1,4,22,4
