chain,draw,sim_dim_0,sim
0,0,0,0.0
0,0,1,87.0
0,0,2,246.0
0,0,3,320.0
0,0,4,406.0
0,0,5,522.0
0,0,6,622.0
0,0,7,755.0
0,0,8,898.0
0,0,9,1041.0
0,0,10,1258.0
0,0,11,1372.0
0,0,12,1614.0
0,0,13,1836.0
0,0,14,1949.0
0,0,15,2146.0
0,0,16,2337.0
0,0,17,2496.0
0,0,18,2635.0
0,0,19,2744.0
0,0,20,2820.0
0,0,21,2862.0
0,0,22,2870.0
0,0,23,2844.0
0,0,24,2788.0
0,0,25,2704.0
0,0,26,2598.0
0,0,27,2473.0
0,0,28,2334.0
0,0,29,2186.0
0,0,30,2033.0
0,0,31,1879.0
0,0,32,1726.0
0,0,33,1578.0
0,0,34,1436.0
0,0,35,1302.0
0,0,36,1176.0
0,0,37,1059.0
0,0,38,951.0
0,0,39,852.0
0,0,40,762.0
0,0,41,681.0
0,0,42,607.0
0,0,43,541.0
0,0,44,481.0
0,0,45,428.0
0,0,46,381.0
0,0,47,338.0
0,0,48,300.0
0,0,49,266.0
0,0,50,236.0
0,0,51,210.0
0,0,52,186.0
0,0,53,165.0
0,0,54,146.0
0,0,55,130.0
0,0,56,115.0
0,0,57,102.0
0,0,58,90.0
0,0,59,80.0
0,0,60,71.0
0,0,61,63.0
0,0,62,56.0
0,0,63,49.0
0,0,64,44.0
0,0,65,39.0
0,0,66,34.0
0,0,67,30.0
0,0,68,27.0
0,0,69,24.0
0,0,70,21.0
0,0,71,19.0
0,0,72,17.0
0,0,73,15.0
0,0,74,13.0
0,0,75,12.0
0,0,76,10.0
0,0,77,9.0
0,0,78,8.0
0,0,79,7.0
0,0,80,6.0
0,0,81,6.0
0,0,82,5.0
0,0,83,4.0
0,0,84,4.0
0,0,85,3.0
0,0,86,3.0
0,0,87,3.0
0,0,88,2.0
0,0,89,2.0
0,0,90,2.0
0,0,91,2.0
0,0,92,1.0
0,0,93,1.0
0,0,94,1.0
0,0,95,1.0
0,0,96,1.0
0,0,97,1.0
0,0,98,1.0
0,0,99,1.0
0,1,0,0.0
0,1,1,88.0
0,1,2,208.0
0,1,3,257.0
0,1,4,300.0
0,1,5,318.0
0,1,6,402.0
0,1,7,472.0
0,1,8,561.0
0,1,9,663.0
0,1,10,809.0
0,1,11,944.0
0,1,12,1154.0
0,1,13,1323.0
0,1,14,1558.0
0,1,15,1660.0
0,1,16,1831.0
0,1,17,2038.0
0,1,18,2233.0
0,1,19,2407.0
0,1,20,2563.0
0,1,21,2695.0
0,1,22,2798.0
0,1,23,2871.0
0,1,24,2912.0
0,1,25,2920.0
0,1,26,2897.0
0,1,27,2844.0
0,1,28,2764.0
0,1,29,2662.0
0,1,30,2541.0
0,1,31,2406.0
0,1,32,2260.0
0,1,33,2109.0
0,1,34,1956.0
0,1,35,1803.0
0,1,36,1654.0
0,1,37,1511.0
0,1,38,1374.0
0,1,39,1245.0
0,1,40,1125.0
0,1,41,1013.0
0,1,42,911.0
0,1,43,817.0
0,1,44,731.0
0,1,45,654.0
0,1,46,584.0
0,1,47,521.0
0,1,48,464.0
0,1,49,413.0
0,1,50,368.0
0,1,51,327.0
0,1,52,291.0
0,1,53,259.0
0,1,54,230.0
0,1,55,204.0
0,1,56,182.0
0,1,57,161.0
0,1,58,143.0
0,1,59,127.0
0,1,60,113.0
0,1,61,100.0
0,1,62,89.0
0,1,63,79.0
0,1,64,70.0
0,1,65,62.0
0,1,66,55.0
0,1,67,49.0
0,1,68,44.0
0,1,69,39.0
0,1,70,34.0
0,1,71,31.0
0,1,72,27.0
0,1,73,24.0
0,1,74,21.0
0,1,75,19.0
0,1,76,17.0
0,1,77,15.0
0,1,78,13.0
0,1,79,12.0
0,1,80,10.0
0,1,81,9.0
0,1,82,8.0
0,1,83,7.0
0,1,84,6.0
0,1,85,6.0
0,1,86,5.0
0,1,87,5.0
0,1,88,4.0
0,1,89,4.0
0,1,90,3.0
0,1,91,3.0
0,1,92,2.0
0,1,93,2.0
0,1,94,2.0
0,1,95,2.0
0,1,96,2.0
0,1,97,1.0
0,1,98,1.0
0,1,99,1.0
0,2,0,0.0
0,2,1,65.0
0,2,2,161.0
0,2,3,203.0
0,2,4,246.0
0,2,5,316.0
0,2,6,369.0
0,2,7,439.0
0,2,8,477.0
0,2,9,547.0
0,2,10,610.0
0,2,11,782.0
0,2,12,841.0
0,2,13,1079.0
0,2,14,1144.0
0,2,15,1283.0
0,2,16,1526.0
0,2,17,1663.0
0,2,18,1767.0
0,2,19,1947.0
0,2,20,2114.0
0,2,21,2265.0
0,2,22,2399.0
0,2,23,2515.0
0,2,24,2609.0
0,2,25,2680.0
0,2,26,2725.0
0,2,27,2745.0
0,2,28,2739.0
0,2,29,2708.0
0,2,30,2655.0
0,2,31,2580.0
0,2,32,2488.0
0,2,33,2381.0
0,2,34,2263.0
0,2,35,2137.0
0,2,36,2005.0
0,2,37,1871.0
0,2,38,1737.0
0,2,39,1605.0
0,2,40,1476.0
0,2,41,1353.0
0,2,42,1236.0
0,2,43,1126.0
0,2,44,1023.0
0,2,45,927.0
0,2,46,838.0
0,2,47,757.0
0,2,48,682.0
0,2,49,614.0
0,2,50,552.0
0,2,51,496.0
0,2,52,445.0
0,2,53,399.0
0,2,54,357.0
0,2,55,320.0
0,2,56,287.0
0,2,57,257.0
0,2,58,230.0
0,2,59,205.0
0,2,60,184.0
0,2,61,164.0
0,2,62,147.0
0,2,63,131.0
0,2,64,117.0
0,2,65,105.0
0,2,66,94.0
0,2,67,84.0
0,2,68,75.0
0,2,69,67.0
0,2,70,60.0
0,2,71,53.0
0,2,72,48.0
0,2,73,43.0
0,2,74,38.0
0,2,75,34.0
0,2,76,30.0
0,2,77,27.0
0,2,78,24.0
0,2,79,22.0
0,2,80,19.0
0,2,81,17.0
0,2,82,15.0
0,2,83,14.0
0,2,84,12.0
0,2,85,11.0
0,2,86,10.0
0,2,87,9.0
0,2,88,8.0
0,2,89,7.0
0,2,90,6.0
0,2,91,6.0
0,2,92,5.0
0,2,93,4.0
0,2,94,4.0
0,2,95,4.0
0,2,96,3.0
0,2,97,3.0
0,2,98,3.0
0,2,99,2.0
0,3,0,0.0
0,3,1,78.0
0,3,2,182.0
0,3,3,249.0
0,3,4,285.0
0,3,5,383.0
0,3,6,389.0
0,3,7,478.0
0,3,8,572.0
0,3,9,694.0
0,3,10,777.0
0,3,11,956.0
0,3,12,1040.0
0,3,13,1199.0
0,3,14,1430.0
0,3,15,1594.0
0,3,16,1661.0
0,3,17,1872.0
0,3,18,2059.0
0,3,19,2224.0
0,3,20,2372.0
0,3,21,2500.0
0,3,22,2605.0
0,3,23,2685.0
0,3,24,2737.0
0,3,25,2761.0
0,3,26,2757.0
0,3,27,2726.0
0,3,28,2671.0
0,3,29,2593.0
0,3,30,2496.0
0,3,31,2384.0
0,3,32,2260.0
0,3,33,2128.0
0,3,34,1991.0
0,3,35,1852.0
0,3,36,1713.0
0,3,37,1578.0
0,3,38,1447.0
0,3,39,1322.0
0,3,40,1203.0
0,3,41,1092.0
0,3,42,989.0
0,3,43,893.0
0,3,44,805.0
0,3,45,724.0
0,3,46,651.0
0,3,47,584.0
0,3,48,524.0
0,3,49,469.0
0,3,50,420.0
0,3,51,375.0
0,3,52,335.0
0,3,53,300.0
0,3,54,268.0
0,3,55,239.0
0,3,56,213.0
0,3,57,190.0
0,3,58,170.0
0,3,59,151.0
0,3,60,135.0
0,3,61,120.0
0,3,62,107.0
0,3,63,96.0
0,3,64,85.0
0,3,65,76.0
0,3,66,68.0
0,3,67,61.0
0,3,68,54.0
0,3,69,48.0
0,3,70,43.0
0,3,71,38.0
0,3,72,34.0
0,3,73,30.0
0,3,74,27.0
0,3,75,24.0
0,3,76,21.0
0,3,77,19.0
0,3,78,17.0
0,3,79,15.0
0,3,80,14.0
0,3,81,12.0
0,3,82,11.0
0,3,83,10.0
0,3,84,9.0
0,3,85,8.0
0,3,86,7.0
0,3,87,6.0
0,3,88,5.0
0,3,89,5.0
0,3,90,4.0
0,3,91,4.0
0,3,92,3.0
0,3,93,3.0
0,3,94,3.0
0,3,95,2.0
0,3,96,2.0
0,3,97,2.0
0,3,98,2.0
0,3,99,2.0
0,4,0,0.0
0,4,1,67.0
0,4,2,181.0
0,4,3,276.0
0,4,4,329.0
0,4,5,446.0
0,4,6,525.0
0,4,7,559.0
0,4,8,656.0
0,4,9,824.0
0,4,10,876.0
0,4,11,1059.0
0,4,12,1261.0
0,4,13,1401.0
0,4,14,1482.0
0,4,15,1854.0
0,4,16,1901.0
0,4,17,2118.0
0,4,18,2316.0
0,4,19,2486.0
0,4,20,2636.0
0,4,21,2762.0
0,4,22,2860.0
0,4,23,2928.0
0,4,24,2963.0
0,4,25,2967.0
0,4,26,2939.0
0,4,27,2882.0
0,4,28,2799.0
0,4,29,2694.0
0,4,30,2570.0
0,4,31,2433.0
0,4,32,2286.0
0,4,33,2133.0
0,4,34,1978.0
0,4,35,1824.0
0,4,36,1674.0
0,4,37,1529.0
0,4,38,1391.0
0,4,39,1261.0
0,4,40,1139.0
0,4,41,1026.0
0,4,42,923.0
0,4,43,828.0
0,4,44,742.0
0,4,45,663.0
0,4,46,593.0
0,4,47,529.0
0,4,48,471.0
0,4,49,420.0
0,4,50,374.0
0,4,51,333.0
0,4,52,296.0
0,4,53,263.0
0,4,54,234.0
0,4,55,208.0
0,4,56,185.0
0,4,57,164.0
0,4,58,146.0
0,4,59,130.0
0,4,60,115.0
0,4,61,102.0
0,4,62,91.0
0,4,63,81.0
0,4,64,72.0
0,4,65,64.0
0,4,66,56.0
0,4,67,50.0
0,4,68,45.0
0,4,69,40.0
0,4,70,35.0
0,4,71,31.0
0,4,72,28.0
0,4,73,25.0
0,4,74,22.0
0,4,75,19.0
0,4,76,17.0
0,4,77,15.0
0,4,78,14.0
0,4,79,12.0
0,4,80,11.0
0,4,81,10.0
0,4,82,8.0
0,4,83,7.0
0,4,84,7.0
0,4,85,6.0
0,4,86,5.0
0,4,87,5.0
0,4,88,4.0
0,4,89,4.0
0,4,90,3.0
0,4,91,3.0
0,4,92,3.0
0,4,93,2.0
0,4,94,2.0
0,4,95,2.0
0,4,96,2.0
0,4,97,1.0
0,4,98,1.0
0,4,99,1.0
0,5,0,0.0
0,5,1,58.0
0,5,2,171.0
0,5,3,246.0
0,5,4,327.0
0,5,5,367.0
0,5,6,451.0
0,5,7,507.0
0,5,8,631.0
0,5,9,735.0
0,5,10,864.0
0,5,11,981.0
0,5,12,1212.0
0,5,13,1322.0
0,5,14,1579.0
0,5,15,1771.0
0,5,16,1836.0
0,5,17,2071.0
0,5,18,2281.0
0,5,19,2466.0
0,5,20,2631.0
0,5,21,2773.0
0,5,22,2887.0
0,5,23,2971.0
0,5,24,3022.0
0,5,25,3039.0
0,5,26,3024.0
0,5,27,2977.0
0,5,28,2901.0
0,5,29,2801.0
0,5,30,2680.0
0,5,31,2543.0
0,5,32,2394.0
0,5,33,2238.0
0,5,34,2078.0
0,5,35,1918.0
0,5,36,1761.0
0,5,37,1609.0
0,5,38,1464.0
0,5,39,1327.0
